offer_date,ipo_name,cik,offer_price,assets_thous,total_proceeds_thous,headquarter,industry,sic_code,is_high_tech,Internet,Founding,vc_backed,first_day_price,vwretd,roll_vwretd,first_day_return,rf_fact_t07,rf_fact_t08,rf_fact_t09
2020-02-24,Zhongchao Inc,1785566,4,14046.124,12000,OVERSEAS,SERVICES-EDUCATIONAL SERVICES,8200,FALSE,0,2012,FALSE,4,-0.03176,0.0303061807102887,0,0.4542483660130720,0.43686006825938600,0.4126984126984130
2020-05-08,China Liberal Education,1775085,6,6769.75,8000,OVERSEAS,SERVICES-EDUCATIONAL SERVICES,8200,FALSE,0,2011,FALSE,4.9,0.018605,0.0277570841385957,-0.1833333333333330,0.5818476499189630,0.576068376068376,0.5394736842105260
2020-07-23,Skillful Craftsman Educ Tech,1782309,5,45816.29,15000,OVERSEAS,SERVICES-EDUCATIONAL SERVICES,8200,FALSE,0,2019,FALSE,4.75,-0.010909,0.0519100665342296,-0.05,0.5178571428571430,0.5259433962264150,0.5
2020-07-31,Vasta Platform Ltd,1792829,19,1129800,352934.3,OVERSEAS,SERVICES-EDUCATIONAL SERVICES,8200,FALSE,0,1966,FALSE,18.85,0.004524,0.0376290282582978,-0.00789473684210518,0.5084306095979250,0.503448275862069,0.4594594594594600
2020-09-18,Vitru Ltd,1805012,16,241901.94,96000,OVERSEAS,SERVICES-EDUCATIONAL SERVICES,8200,FALSE,0,2000,FALSE,16,-0.008825,-0.0207846516002014,0,0.5385542168674700,0.5279898218829520,0.4864433811802230
2021-03-25,Elite Education Group Intl Ltd,1781397,8,14202.472,6000,OH,SERVICES-EDUCATIONAL SERVICES,8200,FALSE,0,2012,FALSE,4,0.006556,0.0163834737724158,-0.5,0.5223097112860890,0.5277777777777780,0.48201438848920900
2021-10-29,Udemy Inc,1607939,29,286668,420500,CA,SERVICES-EDUCATIONAL SERVICES,8200,FALSE,1,2010,TRUE,27.5,9.73E-04,0.031180590909861,-0.05172413793103450,0.4866666666666670,0.489247311827957,0.4806034482758620
2022-04-12,Genius Group Ltd,1847806,6,18164.37,19636.36,OVERSEAS,EDUCATIONAL SERVICES,8200,FALSE,0,2002,FALSE,30.5,-0.002728,1.328187235305E-05,4.083333333333330,0.4888475836431230,0.4781746031746030,0.4449877750611250
2022-05-17,Visionary Education Technology,1892274,4,28468.27,17000,OVERSEAS,SERVICES-EDUCATIONAL SERVICES,8200,FALSE,0,2013,FALSE,25,0.020557,-0.0672366484752083,5.25,0.5509554140127390,0.5494880546075090,0.4957627118644070
2022-06-22,Golden Sun Education Group Ltd,1826376,4,6635.88,17600,OVERSEAS,EDUCATIONAL SERVICES,8200,FALSE,0,1997,FALSE,16.3,-0.002209,-0.113636491966251,3.075,0.6279863481228670,0.6261510128913440,0.6202830188679250
2024-05-15,JIADE Ltd,1976908,4,3553.81,8000,OVERSEAS,SERVICES-EDUCATIONAL SERVICES,8200,FALSE,0,2023,FALSE,4.07,0.011286,0.0290878121664675,0.01750000000000010,0.552099533437014,0.5419463087248320,0.5245202558635400
2024-09-26,Legacy Education Inc.,1836754,4,31886.025,10000,CA,SERVICES-EDUCATIONAL SERVICES,8200,FALSE,0,2020,FALSE,4.02,0.004793,0.0404736976790989,0.00499999999999989,0.5908346972176760,0.5888501742160280,0.6
2013-10-30,Surgical Care Affiliates,1411574,24,1438526,234666.67,IL,"SERVICES-SPECIALTY OUTPATIENT FACILITIES, NEC",8093,FALSE,0,1982,FALSE,27.1,-0.005665,0.0613712985353727,0.12916666666666700,0.6191222570532920,0.6208053691275170,0.594017094017094
2014-10-02,AAC Holdings Inc,1606180,15,93752,75000,TN,"SERVICES-SPECIALTY OUTPATIENT FACILITIES, NEC",8093,FALSE,0,2007,FALSE,18.5,7.75E-04,-0.020939113163786,0.23333333333333300,0.5416666666666670,0.5436893203883500,0.5387596899224810
2019-02-13,IMAC Holdings Inc,1729944,5.125,1331.62,4356.25,TN,"SERVICES-SPECIALTY OUTPATIENT FACILITIES, NEC",8093,FALSE,0,2000,FALSE,3.68,0.002782,0.0323661357826315,-0.2819512195121950,0.56973293768546,0.5686900958466450,0.5643153526970950
2024-07-25,Concentra Group Hldings Parent,2014596,23.5,2366162,528750,PA,"SERVICES-SPECIALTY OUTPATIENT FACILITIES, NEC",8093,FALSE,0,1979,FALSE,22.48,-0.003251,0.0168162890311798,-0.04340425531914890,0.5411954765751210,0.5374149659863950,0.5370370370370370
2016-04-21,Amer Renal Assoc Hldg Inc,1498068,22,939469,165000,MA,"SERVICES-MISC HEALTH & ALLIED SERVICES, NEC",8090,FALSE,0,1999,TRUE,26.5,-0.005273,0.023161062306257,0.20454545454545500,0.49506578947368400,0.4991181657848320,0.490280777537797
2019-07-25,Livongo Health Inc,1639225,28,181837,355236,CA,"SERVICES-MISC HEALTH & ALLIED SERVICES, NEC",8090,FALSE,0,2008,TRUE,38.1,-0.006384,0.010434541061862,0.36071428571428600,0.4241379310344830,0.4206730769230770,0.4125177809388340
2019-10-25,Progyny Inc,1551306,13,63082,130000,NY,"SERVICES-MISC HEALTH & ALLIED SERVICES, NEC",8090,FALSE,0,2008,TRUE,15.94,0.004071,0.030427440439365,0.22615384615384600,0.48880597014925400,0.4892367906066540,0.4918793503480280
2020-11-20,Sotera Health Co,1822479,23,2700004,1071800,OH,"SERVICES-MISC HEALTH & ALLIED SERVICES, NEC",8090,FALSE,0,1925,FALSE,25.1,-0.004295,0.0841882967209853,0.091304347826087,0.5159474671669790,0.515274949083503,0.5125
2021-04-15,agilon health inc,1831097,23,446361,1071800,CA,"SERVICES-MISC HEALTH & ALLIED SERVICES, NEC",8090,FALSE,1,2016,TRUE,31,0.01005,0.0518765640644663,0.34782608695652200,0.4691516709511570,0.4733242134062930,0.45896147403685100
2021-06-16,Convey Holding Parent Inc,1787640,14,843068,186666.676,TX,"SERVICES-MISC HEALTH & ALLIED SERVICES, NEC",8090,FALSE,1,2001,FALSE,13,-0.004693,0.0214474159899409,-0.07142857142857140,0.49273255813953500,0.4878048780487810,0.4626865671641790
2021-10-27,Marpai Inc,1844392,4,26413.69,25000,FL,"SERVICES-MISC HEALTH & ALLIED SERVICES, NEC",8090,FALSE,0,2019,FALSE,4.75,-0.007541,0.0523471359327126,0.1875,0.5287187039764360,0.5292259083728280,0.5165692007797270
2023-03-21,"Mangoceuticals, Inc.",1938046,4,1003.287,5000,TX,"SERVICES-MISC HEALTH & ALLIED SERVICES, NEC",8090,FALSE,0,2021,FALSE,4,0.013857,-0.0273513609297922,0,0.4872727272727270,0.48554913294797700,0.4547619047619050
2014-09-17,Civitas Solutions Inc,1608638,17,1031494,198900,MA,SERVICES-HOME HEALTH CARE SERVICES,8082,FALSE,0,1980,FALSE,16.61,7.97E-04,-0.00773019980358702,-0.02294117647058830,0.5378378378378380,0.5314285714285720,0.5285714285714290
2021-02-11,Apria Inc,1735803,20,645051,150000,IN,SERVICES-HOME HEALTH CARE SERVICES,8082,FALSE,0,1995,FALSE,23.36,0.001885,0.0240970208450078,0.16800000000000000,0.5474956822107080,0.5459662288930580,0.5370370370370370
2021-02-11,Signify Health Inc,1828182,24,1468700,564000,CT,SERVICES-HOME HEALTH CARE SERVICES,8082,FALSE,1,2009,FALSE,31.56,0.001885,0.0240970208450078,0.31500000000000000,0.5363128491620110,0.5316606929510160,0.5244252873563220
2021-04-29,Aveanna Healthcare Holdings In,1832332,12,1844016,458832,GA,SERVICES-HOME HEALTH CARE SERVICES,8082,FALSE,0,1984,FALSE,11.53,0.003534,0.0287467245227635,-0.03916666666666670,0.5636822194199240,0.5666666666666670,0.5515055467511890
2024-01-26,BrightSpring Health Services,1865782,13,5489571,693333.342,KY,SERVICES-HOME HEALTH CARE SERVICES,8082,FALSE,0,1974,FALSE,11,4.4E-05,0.0281506096311175,-0.15384615384615400,0.9078179696616100,0.9196891191709840,0.938976377952756
2011-02-03,BG Medicine Inc,1407038,7,5969,35000,MA,SERVICES-MEDICAL LABORATORIES,8071,FALSE,0,2000,TRUE,8.05,0.002924,0.0236248659319676,0.1500000000000000,0.5253623188405800,0.5175097276264590,0.5169082125603860
2013-01-25,LipoScience Inc,1168197,9,33548.965,45000,NC,SERVICES-MEDICAL LABORATORIES,8071,FALSE,0,1994,TRUE,10.45,0.00525,0.0248397840714729,0.16111111111111100,0.5161290322580650,0.5059101654846340,0.4942196531791910
2013-04-05,Cancer Genetics,1349929,10,8951.77,6000,NJ,SERVICES-MEDICAL LABORATORIES,8071,FALSE,0,1999,FALSE,11.25,-0.003519,-0.00487788400517386,0.125,0.5833333333333330,0.5706896551724140,0.5680345572354210
2013-09-25,Foundation Medicine,1488613,18,52269,105999.984,MA,SERVICES-MEDICAL LABORATORIES,8071,FALSE,0,2009,TRUE,35.35,-0.001662,0.0405479777187379,0.963888888888889,0.4959349593495940,0.49141630901287600,0.4947643979057590
2013-10-30,Veracyte,1384101,13,27159,65000,CA,SERVICES-MEDICAL LABORATORIES,8071,FALSE,0,2006,TRUE,13.25,-0.005665,0.0613712985353727,0.01923076923076920,0.48267898383371800,0.47783251231527100,0.459375
2014-02-05,Biocept,1044378,10,1083.089,19000,CA,SERVICES-MEDICAL LABORATORIES,8071,FALSE,0,1997,FALSE,9.4,-0.001952,-0.0396289618921509,-0.06000000000000000,0.5531914893617020,0.5471698113207550,0.5277777777777780
2014-06-18,Signal Genetics Inc,1590750,10,3495.332,8500,NY,SERVICES-MEDICAL LABORATORIES,8071,FALSE,0,2010,FALSE,9.09,0.006963,0.0167920925977818,-0.091,0.5764705882352940,0.5741029641185650,0.5575396825396830
2014-07-16,CareDx Inc,1217234,10,11095,40000,CA,SERVICES-MEDICAL LABORATORIES,8071,FALSE,0,1998,TRUE,9.05,0.003751,0.00430018871318127,-0.09499999999999990,0.5201238390092880,0.5166112956810630,0.5212981744421910
2015-02-12,Invitae Corp,1501134,16,73147,101600,CA,SERVICES-MEDICAL LABORATORIES,8071,FALSE,0,2010,TRUE,17.05,0.010427,0.0219472248949024,0.06562500000000000,0.497907949790795,0.49217002237136500,0.4673913043478260
2015-05-05,OpGen Inc,1293818,6,2654.931,17100,MD,SERVICES-MEDICAL LABORATORIES,8071,FALSE,0,2001,TRUE,4.85,-0.011551,0.00438842686768215,-0.1916666666666670,0.4866785079928950,0.47766990291262100,0.467005076142132
2015-07-02,Natera Inc,1604821,18,120104,180000,CA,SERVICES-MEDICAL LABORATORIES,8071,FALSE,0,2003,TRUE,22.74,-5.54E-04,-0.0196754857316811,0.26333333333333300,0.4967824967824970,0.5013623978201640,0.4882943143812710
